#Parameters = {D=5; L=135.5; R_=5; eps=4; gap=20; sig=0.1; zg=600}
#"Frequency / GHz"	"S3,2 [Magnitude in dB]"
#------------------------------------------
0.00000000000000	-108.53841573480
0.0020000000949949	-108.60485424332
0.0040000001899898	-108.80669517739
0.0060000000521541	-109.15185625988
0.0080000003799796	-109.65477993032
0.0099999997764826	-110.33868535013
0.012000000104308	-111.23970343076
0.014000000432134	-112.41445660319
0.016000000759959	-113.95431389509
0.017999999225140	-116.01184479801
0.019999999552965	-118.83349838624
0.021999999880791	-122.53441277963
0.024000000208616	-124.27482499632
0.026000000536442	-120.63306669412
0.028000000864267	-116.72809466157
0.029999999329448	-113.73749822178
0.032000001519918	-111.40648053855
0.034000001847744	-109.52043242459
0.035999998450279	-107.94940552647
0.037999998778105	-106.61327022533
0.039999999105930	-105.46011942500
0.041999999433756	-104.45471746694
0.043999999761581	-103.57219786049
0.046000000089407	-102.79444357965
0.048000000417233	-102.10791501634
0.050000000745058	-101.50229236270
0.052000001072884	-100.96958466848
0.054000001400709	-100.50353878631
0.056000001728535	-100.09922957629
0.057999998331070	-99.752771231815
0.059999998658895	-99.461106531252
0.061999998986721	-99.221851437456
0.064000003039837	-99.033180880717
0.065999999642372	-98.893735041770
0.068000003695488	-98.802539274961
0.070000000298023	-98.758941058726
0.071999996900558	-98.762531194133
0.074000000953674	-98.813067899948
0.075999997556210	-98.910361738465
0.078000001609325	-99.054133027207
0.079999998211861	-99.243783471205
0.082000002264977	-99.478069067811
0.083999998867512	-99.754602346867
0.086000002920628	-100.06911838101
0.087999999523163	-100.41442025012
0.090000003576279	-100.77896409083
0.092000000178814	-101.14512779082
0.093999996781349	-101.48758743657
0.096000000834465	-101.77277217379
0.097999997437000	-101.96101987006
0.10000000149012	-102.01304554144
0.10199999809265	-101.90018124675
0.10400000214577	-101.61409122790
0.10599999874830	-101.16985039526
0.10800000280142	-100.60017590711
0.10999999940395	-99.944852802985
0.11200000345707	-99.241426931026
0.11400000005960	-98.520220375189
0.11599999666214	-97.803236812542
0.11800000071526	-97.105202432955
0.11999999731779	-96.435292019760
0.12200000137091	-95.798761101745
0.12399999797344	-95.198236695260
0.12600000202656	-94.634642310097
0.12800000607967	-94.107834071949
0.12999999523163	-93.617011644228
0.13199999928474	-93.160988728641
0.13400000333786	-92.738359368472
0.13600000739098	-92.347597752764
0.13799999654293	-91.987116716447
0.14000000059605	-91.655300293462
0.14200000464916	-91.350508397257
0.14399999380112	-91.071076247659
0.14599999785423	-90.815308178210
0.14800000190735	-90.581459479085
0.15000000596046	-90.367715576630
0.15199999511242	-90.172173388765
0.15399999916553	-89.992820955399
0.15600000321865	-89.827520145135
0.15800000727177	-89.673988935206
0.15999999642372	-89.529795814345
0.16200000047684	-89.392361123112
0.16400000452995	-89.258968379540
0.16599999368191	-89.126793925751
0.16799999773502	-88.992952230427
0.17000000178814	-88.854565935871
0.17200000584126	-88.708838550709
0.17399999499321	-88.553161581409
0.17599999904633	-88.385212490026
0.17800000309944	-88.203063799670
0.18000000715256	-88.005267608540
0.18199999630451	-87.790932216574
0.18400000035763	-87.559756329370
0.18600000441074	-87.312024478222
0.18799999356270	-87.048578581310
0.18999999761581	-86.770736731894
0.19200000166893	-86.480207544282
0.19400000572205	-86.178979960826
0.19599999487400	-85.869213659309
0.19799999892712	-85.553136581939
0.20000000298023	-85.232958339647
0.20200000703335	-84.910796399500
0.20399999618530	-84.588623550698
0.20600000023842	-84.268234423326
0.20800000429153	-83.951223596140
0.20999999344349	-83.638977313108
0.21199999749660	-83.332675734401
0.21400000154972	-83.033295871047
0.21600000560284	-82.741631019155
0.21799999475479	-82.458296452747
0.21999999880791	-82.183747979293
0.22200000286102	-81.918295194043
0.22400000691414	-81.662116529158
0.22599999606609	-81.415270109166
0.22800000011921	-81.177704010794
0.23000000417233	-80.949269783111
0.23199999332428	-80.729728139431
0.23399999737740	-80.518756259906
0.23600000143051	-80.315958434300
0.23800000548363	-80.120864639199
0.23999999463558	-79.932946157113
0.24199999868870	-79.751613944829
0.24400000274181	-79.576224344136
0.24600000679493	-79.406091548997
0.24799999594688	-79.240487867001
0.25000000000000	-79.078654703865
0.25200000405312	-78.919811357389
0.25400000810623	-78.763162900191
0.25600001215935	-78.607913093723
0.25799998641014	-78.453276138861
0.25999999046326	-78.298487450636
0.26199999451637	-78.142821008982
0.26399999856949	-77.985596972059
0.26600000262260	-77.826202076730
0.26800000667572	-77.664094361489
0.27000001072884	-77.498820290560
0.27200001478195	-77.330018437127
0.27399998903275	-77.157429210879
0.27599999308586	-76.980897698973
0.27799999713898	-76.800373126014
0.28000000119209	-76.615903801368
0.28200000524521	-76.427637460464
0.28400000929832	-76.235810852259
0.28600001335144	-76.040733283211
0.28799998760223	-75.842786492706
0.28999999165535	-75.642396568455
0.29199999570847	-75.440036983810
0.29399999976158	-75.236201467735
0.29600000381470	-75.031397903062
0.29800000786781	-74.826132820482
0.30000001192093	-74.620903981322
0.30199998617172	-74.416187727185
0.30399999022484	-74.212432681919
0.30599999427795	-74.010050843983
0.30799999833107	-73.809417279340
0.31000000238419	-73.610860446021
0.31200000643730	-73.414660548133
0.31400001049042	-73.221050493450
0.31600001454353	-73.030213775471
0.31799998879433	-72.842285050190
0.31999999284744	-72.657347404791
0.32199999690056	-72.475438659006
0.32400000095367	-72.296551346617
0.32600000500679	-72.120631722000
0.32800000905991	-71.947587906104
0.33000001311302	-71.777289329002
0.33199998736382	-71.609569114528
0.33399999141693	-71.444231627339
0.33599999547005	-71.281052667335
0.33799999952316	-71.119784788414
0.34000000357628	-70.960162622559
0.34200000762939	-70.801905547121
0.34400001168251	-70.644726322505
0.34599998593330	-70.488330114307
0.34799998998642	-70.332427340068
0.34999999403954	-70.176728348803
0.35199999809265	-70.020960275302
0.35400000214577	-69.864861720943
0.35600000619888	-69.708192779220
0.35800001025200	-69.550738610684
0.36000001430511	-69.392310608407
0.36199998855591	-69.232753215057
0.36399999260902	-69.071941323656
0.36599999666214	-68.909786361233
0.36800000071526	-68.746233824934
0.37000000476837	-68.581265336781
0.37200000882149	-68.414897195716
0.37400001287460	-68.247177704205
0.37599998712540	-68.078186544730
0.37799999117851	-67.908029817595
0.37999999523163	-67.736839113988
0.38199999928474	-67.564765243587
0.38400000333786	-67.391976206627
0.38600000739098	-67.218651126552
0.38800001144409	-67.044978053225
0.38999998569489	-66.871147536041
0.39199998974800	-66.697348537324
0.39399999380112	-66.523769780660
0.39599999785423	-66.350586571506
0.39800000190735	-66.177968277016
