           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -200              100                0         -1.89592         0.429341          -23.435          4.54693         -0.20496        -0.176118
             -200              100                5         -1.82336         0.300792           -22.88           4.4099        -0.708731       -0.0473217
             -200              100               10          -1.8096         0.189811         -22.2179          4.28816         -1.18716        0.0851573
             -200              100               15         -1.86389         0.108754         -21.4093          4.19165         -1.59308         0.220833
             -200              100               20         -1.95935        0.0458002          -20.512          4.11041         -1.95513         0.358441
             -200              100               25         -2.07732        0.0162211         -19.5053          4.05835         -2.21137         0.495277
             -200              100               30         -2.20662       0.00345919         -18.4437            4.021          -2.4143         0.631723
             -200              100               35          -2.3119        0.0241086         -17.3193          4.01579         -2.51269         0.763509
             -200              100               40         -2.40722        0.0586163          -16.169          4.02392         -2.56773         0.893361
             -200              100               45         -2.44706         0.124234         -14.9918          4.06762         -2.54067          1.01563
             -200              100               50         -2.46829         0.200292         -13.8054          4.12326         -2.48606          1.13535
             -200              100               55         -2.41877         0.302837          -12.614          4.21782         -2.37931          1.24545
             -200              100               60         -2.35053         0.412398         -11.4212          4.32268         -2.25873            1.353
             -200              100               65         -2.20903         0.541959          -10.233          4.46809         -2.11476          1.44941
             -200              100               70          -2.0528         0.675546         -9.04574          4.62167         -1.96608          1.54357
             -200              100               75         -1.82965         0.821685         -7.86218          4.81608         -1.81791          1.62551
             -200              100               80         -1.59689         0.969629         -6.67914          5.01636         -1.66981          1.70568
             -200              100               85         -1.30938          1.12277         -5.49007          5.25752         -1.54054          1.77364
             -200              100               90         -1.01686          1.27639         -4.30044          5.50243         -1.41299          1.84048
             -200              100               95        -0.685355          1.42841         -3.08854           5.7864         -1.01758          1.41855
             -200              100              100        -0.352141          1.58037         -1.87566          6.07209        -0.610449         0.975245
             -200              100              105       -0.0358144          1.65599        -0.756704          6.39251        -0.228619         0.532363
             -200              100              110         0.291971          1.67156         0.414311          6.51504        -0.149839         0.560823
             -200              100              115         0.619846          1.62533          1.60186          6.43242       -0.0721358         0.575037
             -200              100              120          0.93627          1.51805          2.76835          6.14476       0.00215528         0.576735
             -200              100              125          1.22988          1.35255          3.87718          5.65605        0.0713266         0.567974
             -200              100              130           1.4902          1.13367          4.89516          4.97611         0.134347         0.551008
             -200              100              135          1.70773         0.868194          5.79004           4.1222         0.190728         0.528149
             -200              100              140          1.87434         0.564584          6.52955          3.11658         0.240499         0.501511
             -200              100              145          1.98356         0.232679           7.0855          1.98527         0.284217         0.472871
