           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
             -200              100              365        -0.339121          1.11438         -2.72908          5.13655        -0.372625        -0.243901
             -200              100              370        -0.144844          1.14862         -1.85397          5.58314        -0.397863        -0.189239
             -200              100              375         0.051509          1.14903         -0.91026           5.8777        -0.415959        -0.131808
             -200              100              380         0.243976          1.11583        0.0758173          6.00815        -0.426672       -0.0725333
             -200              100              385         0.426738          1.05026          1.07611          5.96708        -0.429846       -0.0123712
             -200              100              390         0.594304         0.954585          2.06136          5.75212        -0.425412        0.0477055
             -200              100              395         0.741695         0.832009          3.00211          5.36612        -0.413391         0.106708
             -200              100              400           0.8646         0.686557          3.86956          4.81723        -0.393894         0.163641
             -200              100              405         0.959509         0.522949          4.63647          4.11874        -0.367136          0.21751
             -200              100              410          1.02383         0.346449           5.2781          3.28885        -0.333439          0.26733
             -200              100              415          1.05598         0.162678          5.77296          2.35018        -0.293239         0.312142
             -200              100              420          1.05538       -0.0225609          6.10361          1.32921        -0.247094         0.351023
             -200              100              425          1.02253        -0.203472          6.25728         0.255531        -0.195689         0.383105
             -200              100              430         0.958942        -0.374467           6.2264        -0.839014        -0.139842         0.407599
             -200              100              435         0.867096         -0.53033          6.00892         -1.92128       -0.0804992         0.423812
             -200              100              440         0.750353          -0.6664          5.60857         -2.95787       -0.0187354         0.431173
             -200              100              445         0.612828        -0.778707           5.0348          -3.9161        0.0442551         0.429266
             -200              100              450          0.45925        -0.864101          4.30266         -4.76518         0.107177         0.417839
             -200              100              455         0.294809        -0.920342          3.43242         -5.47712         0.168654          0.39684
             -200              100              460         0.124963        -0.946167          2.44908         -6.02779         0.227251         0.366428
             -200              100              465       -0.0447272        -0.941321          1.38163         -6.39772         0.281512         0.326997
             -200              100              470        -0.208797        -0.906556         0.262216         -6.57283         0.329994         0.279182
             -200              100              475        -0.362052        -0.843586        -0.874782         -6.54503         0.371313         0.223867
             -200              100              480        -0.499733        -0.755021         -1.99386         -6.31257         0.404186         0.162171
             -200              100              485        -0.617674        -0.644275         -3.05948         -5.88025         0.427476        0.0954467
             -200              100              490        -0.712433        -0.515434         -4.03725         -5.25941         0.440244        0.0252529
             -200              100              495        -0.781395         -0.37311         -4.89503         -4.46762         0.441789       -0.0466759
             -200              100              500        -0.822847        -0.222289         -5.60405         -3.52831          0.43169        -0.118469
             -195              100                0        -0.579274       -0.0112373          10.9647         0.367452       -0.0915839        -0.259538
             -195              100                5        -0.619765      -0.00014878          10.6565         0.278532         0.218239        -0.327322
             -195              100               10        -0.628516       0.00701676          10.3019         0.185794         0.515068        -0.395531
             -195              100               15        -0.598158       0.00791968          9.88527        0.0876625         0.774818         -0.46404
             -195              100               20        -0.544141       0.00503382          9.43105       -0.0137325          1.01214        -0.532731
             -195              100               25        -0.470071      -0.00453337           8.9342        -0.120627          1.19586        -0.601081
             -195              100               30        -0.385897       -0.0174672          8.41588        -0.230293          1.35258        -0.669259
             -195              100               35        -0.300846       -0.0368318          7.87749        -0.345731          1.45619        -0.736505
             -195              100               40         -0.21543       -0.0588637          7.33077        -0.463562          1.53778        -0.803365
             -195              100               45        -0.141663       -0.0866031          6.78056        -0.587692          1.57579        -0.868933
             -195              100               50       -0.0718066        -0.116258          6.22918        -0.713935          1.59917        -0.934066
             -195              100               55       -0.0197411        -0.150454          5.68405        -0.847032          1.59081        -0.997709
             -195              100               60         0.027612        -0.185852          5.14059        -0.981943          1.57405         -1.06096
             -195              100               65        0.0555608        -0.224327          4.60763         -1.12406            1.536          -1.1225
             -195              100               70        0.0796046        -0.263422          4.07679         -1.26762          1.49367          -1.1837
             -195              100               75        0.0854192        -0.304084          3.55686         -1.41841          1.43796         -1.24287
             -195              100               80        0.0886143        -0.344971           3.0385         -1.57023          1.38034         -1.30175
             -195              100               85        0.0763416        -0.386095          2.52886         -1.72876          1.31469         -1.35822
             -195              100               90        0.0626548        -0.427241          2.02002          -1.8879          1.24832         -1.41446
             -195              100               95        0.0370883        -0.467546          1.51593         -2.05243         0.906149         -1.09522
             -195              100              100        0.0110026        -0.507814          1.01204         -2.21721         0.551928        -0.759567
             -195              100              105        -0.085661        -0.508866         0.577055         -2.35998         0.198786        -0.425544
             -195              100              110         -0.18326        -0.491497          0.12245         -2.42583         0.114271        -0.456509
             -195              100              115        -0.278284        -0.455579        -0.337405         -2.41175        0.0256305         -0.47245
             -195              100              120        -0.367212        -0.401625        -0.787902         -2.31713       -0.0642952        -0.473025
             -195              100              125        -0.446644        -0.330788         -1.21458         -2.14373        -0.152699        -0.458386
             -195              100              130         -0.51341        -0.244827         -1.60353         -1.89571        -0.236893        -0.429161
             -195              100              135        -0.564669        -0.146065         -1.94184         -1.57955        -0.314395        -0.386409
             -195              100              140        -0.598029       -0.0373185         -2.21791         -1.20385        -0.382995        -0.331572
             -195              100              145        -0.611606          0.07817         -2.42184         -0.77917        -0.440817        -0.266412
             -195              100              150         -0.60412         0.196832         -2.54574        -0.317749        -0.486369        -0.192949
