#Parameters = {D=5; L=135.5; R_=5; eps=4; gap=20; sig=0.1; zg=600}
#"Frequency / GHz"	"S3,2 [Magnitude in dB]"
#------------------------------------------
0.00000000000000	-108.56700549055
0.0020000000949949	-108.63358106666
0.0040000001899898	-108.83584573494
0.0060000000521541	-109.18176445522
0.0080000003799796	-109.68586904156
0.0099999997764826	-110.37154492934
0.012000000104308	-111.27521889467
0.014000000432134	-112.45408708631
0.016000000759959	-114.00072701042
0.017999999225140	-116.07059441027
0.019999999552965	-118.91803920899
0.021999999880791	-122.67588753420
0.024000000208616	-124.41735704152
0.026000000536442	-120.67421818999
0.028000000864267	-116.74134640997
0.029999999329448	-113.74499624832
0.032000001519918	-111.41298081400
0.034000001847744	-109.52710898746
0.035999998450279	-107.95654103387
0.037999998778105	-106.62089689743
0.039999999105930	-105.46818919029
0.041999999433756	-104.46316641138
0.043999999761581	-103.58095985679
0.046000000089407	-102.80345879858
0.048000000417233	-102.11712950016
0.050000000745058	-101.51165621266
0.052000001072884	-100.97905247263
0.054000001400709	-100.51306935316
0.056000001728535	-100.10878356166
0.057999998331070	-99.762309430122
0.059999998658895	-99.470590519995
0.061999998986721	-99.231241455185
0.064000003039837	-99.042434134768
0.065999999642372	-98.902805501079
0.068000003695488	-98.811376765746
0.070000000298023	-98.767486463555
0.071999996900558	-98.770717794213
0.074000000953674	-98.820816362087
0.075999997556210	-98.917580074271
0.078000001609325	-99.060707914222
0.079999998211861	-99.249578885621
0.082000002264977	-99.482922752558
0.083999998867512	-99.758316691338
0.086000002920628	-100.07146221747
0.087999999523163	-100.41512764160
0.090000003576279	-100.77774292806
0.092000000178814	-101.14169375412
0.093999996781349	-101.48172854306
0.096000000834465	-101.76443868533
0.097999997437000	-101.95044167670
0.10000000149012	-102.00080460004
0.10199999809265	-101.88717542994
0.10400000214577	-101.60134238038
0.10599999874830	-101.15825966820
0.10800000280142	-100.59034360994
0.10999999940395	-99.937047201229
0.11200000345707	-99.235655878509
0.11400000005960	-98.516329472639
0.11599999666214	-97.800997760497
