           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -200              100                0          -9.0517         -38.4374          49.2805          6.15564          2.01831         -3.07061
             -200              100                5         -8.88025         -38.0191           49.051          6.60749          2.95511         0.549338
             -200              100               10          -8.7192         -37.1972          48.6313          6.61738          3.90389          4.04726
             -200              100               15         -8.56553         -35.8461          47.8925          6.01124          4.88161          7.18735
             -200              100               20         -8.41631         -34.1748          46.9606           5.0324          5.87684           10.111
             -200              100               25         -8.25456         -32.1626          45.6625          3.59711          6.90912          12.4928
             -200              100               30          -8.0865         -29.9786          44.1798          1.93182          7.96006          14.6016
             -200              100               35         -7.88668         -27.6642          42.3099        0.0258675          9.04135          16.1374
             -200              100               40          -7.6737         -25.2958          40.2793          -1.9799          10.1352          17.4357
             -200              100               45         -7.41853         -22.9474          37.8578         -4.04357          11.2431          18.2238
             -200              100               50         -7.14919         -20.6057          35.3051         -6.12667          12.3556          18.8407
             -200              100               55         -6.83812         -18.3697          32.3769         -8.13497          13.4599          19.0444
             -200              100               60         -6.51599         -16.1617          29.3493         -10.1234           14.562          19.1387
             -200              100               65         -6.16131         -14.0952          25.9804         -11.9484          15.6296          18.9128
             -200              100               70         -5.80007          -12.057          22.5428         -13.7404          16.6902          18.6225
             -200              100               75         -5.41943         -10.1628          18.8158         -15.3121          17.6873          18.0865
             -200              100               80         -5.03599         -8.28919          15.0473          -16.852          18.6752          17.5153
             -200              100               85         -4.64548         -6.54134          11.0582         -18.1364          19.5705           16.753
             -200              100               90         -4.25431         -4.80499          7.04902         -19.3974          20.4574          15.9732
             -200              100               95         -3.86494         -3.16475          2.90323         -20.3841          15.8384          11.5851
             -200              100              100         -3.47564         -1.52872         -1.24854         -21.3587          10.9787          7.03934
             -200              100              105         -3.58371        -0.899141         -5.43487         -20.7683           6.0909           2.4585
             -200              100              110         -3.58139        -0.271144         -9.42873         -19.3522          6.46611          1.30132
             -200              100              115         -3.47226         0.335823         -13.0694         -17.1628          6.61265        0.0975299
             -200              100              120          -3.2632         0.903459           -16.21         -14.2843          6.52787         -1.10812
             -200              100              125         -2.96415          1.41518         -18.7235         -10.8286          6.21766         -2.27162
             -200              100              130         -2.58778          1.85662         -20.5077         -6.93102          5.69601         -3.35129
             -200              100              135         -2.14906           2.2161         -21.4896          -2.7452          4.98437          -4.3093
             -200              100              140         -1.66468          2.48505         -21.6279          1.56365          4.11065         -5.11301
             -200              100              145         -1.15246           2.6582         -20.9153          5.82509          3.10809         -5.73598
             -200              100              150        -0.630701          2.73377         -19.3782          9.87037          2.01391         -6.15885
             -200              100              155        -0.117465          2.71348         -17.0757          13.5392         0.867822         -6.36986
             -200              100              160         0.370079          2.60241         -14.0976          16.6861         -0.28942         -6.36502
             -200              100              165         0.816285          2.40871         -10.5604          19.1863         -1.41754         -6.14809
             -200              100              170           1.2076          2.14321         -6.60263          20.9405         -2.47813         -5.73026
             -200              100              175          1.53302          1.81896         -2.37949           21.879         -3.43599         -5.12951
             -200              100              180          1.78444          1.45062           1.9434           21.964         -4.26023         -4.36982
             -200              100              185          1.95687          1.05381          6.19651          21.1918         -4.92527         -3.48019
             -200              100              190          2.04852         0.644488          10.2132           19.592         -5.41158         -2.49347
             -200              100              195          2.06072         0.238298          13.8361           17.227         -5.70617         -1.44519
             -200              100              200          1.99775        -0.150061          16.9235           14.189         -5.80295        -0.372209
             -200              100              205          1.86651        -0.507355          19.3547          10.5966         -5.70266         0.688509
             -200              100              210          1.67613        -0.822287          21.0348          6.59015          -5.4128          1.70121
             -200              100              215          1.43749         -1.08585          21.8983          2.32605         -4.94714          2.63248
             -200              100              220          1.16265         -1.29155          21.9116          -2.0293         -4.32516           3.4524
             -200              100              225          0.86432         -1.43556          21.0746         -6.30602         -3.57128          4.13539
             -200              100              230         0.555322         -1.51666            19.42         -10.3374         -2.71392          4.66106
             -200              100              235         0.248026         -1.53619          17.0127         -13.9664         -1.78447          5.01476
             -200              100              240       -0.0461087         -1.49777          13.9468         -17.0516        -0.816201          5.18797
             -200              100              245        -0.316931         -1.40705          10.3419         -19.4731          0.15692          5.17849
             -200              100              250        -0.555934          -1.2713          6.33877         -21.1369          1.10137          4.99041
             -200              100              255        -0.756482         -1.09903          2.09352         -21.9784          1.98519          4.63387
             -200              100              260        -0.913942        -0.899529         -2.22836         -21.9652          2.77907          4.12463
             -200              100              265         -1.02572        -0.682449         -6.45844         -21.0985          3.45727          3.48342
             -200              100              270         -1.09122        -0.457353          -10.432         -19.4125          3.99851          2.73521
             -200              100              275         -1.11171         -0.23336         -13.9943         -16.9736          4.38658          1.90824
             -200              100              280         -1.09008       -0.0187939         -17.0068         -13.8774          4.61086          1.03309
             -200              100              285         -1.03066         0.179083         -19.3524         -10.2454          4.66662         0.141489
             -200              100              290        -0.938855          0.35428         -20.9402         -6.22002          4.55512        -0.734725
             -200              100              295        -0.820529         0.501861         -21.6984         -1.95589          4.28156         -1.56377
             -200              100              300        -0.682838         0.618967         -21.6074          2.37267          3.86085         -2.31718
             -200              100              305        -0.532606         0.703991         -20.6726          6.59569          3.31094         -2.96944
             -200              100              310          -0.3765         0.756702         -18.9324          10.5476          2.65413         -3.49906
             -200              100              315        -0.220849         0.777966         -16.4538          14.0692          1.91589          -3.8884
             -200              100              320       -0.0712626         0.770123         -13.3408           17.026          1.12526          -4.1269
             -200              100              325        0.0674365         0.736209         -9.71765          19.3032         0.312024         -4.20888
             -200              100              330         0.191323         0.679934          -5.7285          20.8132        -0.493655         -4.13444
             -200              100              335         0.297434         0.605467         -1.53167          21.4986         -1.26238         -3.90941
             -200              100              340         0.383782         0.517213          2.70663          21.3349         -1.96655         -3.54507
             -200              100              345         0.449323         0.419621          6.81891          20.3314         -2.58141         -3.05764
             -200              100              350         0.493887         0.316987          10.6431          18.5303         -3.08588         -2.46766
             -200              100              355         0.518084         0.213325          14.0288          16.0058         -3.46334         -1.79917
             -200              100              360         0.523184         0.112235          16.8434          12.8605         -3.70217         -1.07874
             -200              100              365         0.510988        0.0168116          18.9775          9.22139         -3.79613        -0.334476
             -200              100              370         0.483685       -0.0704079          20.3488          5.23499         -3.74454         0.405084
             -200              100              375         0.443727        -0.147464          20.9058          1.06121         -3.55225          1.11204
             -200              100              380         0.393695        -0.212968          20.6296         -3.13293         -3.22936           1.7602
             -200              100              385         0.336191        -0.266086          19.5346         -7.18002         -2.79078          2.32603
             -200              100              390         0.273735        -0.306479          17.6681          -10.919          -2.2556          2.78956
             -200              100              395         0.208689        -0.334249          15.1079         -14.2017         -1.64629          3.13506
             -200              100              400         0.143197        -0.349871          11.9596         -16.8987        -0.987808          3.35165
             -200              100              405        0.0791514        -0.354117          8.35203         -18.9044        -0.306578          3.43359
             -200              100              410        0.0181636        -0.347985          4.43197         -20.1415         0.370545          3.38047
             -200              100              415       -0.0384372        -0.332626         0.358342         -20.5638          1.01733          3.19717
             -200              100              420       -0.0895944        -0.309296         -3.70435         -20.1582           1.6092          2.89352
             -200              100              425        -0.134512        -0.279292         -7.59265          -18.945          2.12415          2.48392
             -200              100              430        -0.172631        -0.243921         -11.1508         -16.9772          2.54359          1.98667
             -200              100              435        -0.203592         -0.20446         -14.2369          -14.338          2.85304          1.42318
             -200              100              440        -0.227223        -0.162139         -16.7289         -11.1375          3.04261         0.817085
             -200              100              445        -0.243498        -0.118125         -18.5292         -7.50814          3.10733         0.193279
             -200              100              450        -0.252522       -0.0735206         -19.5687         -3.59925          3.04732        -0.423113
             -200              100              455        -0.254514       -0.0293549         -19.8097         0.429166          2.86763         -1.00773
             -200              100              460        -0.249782        0.0134144         -19.2469           4.4129            2.578         -1.53795
             -200              100              465        -0.238731        0.0538968         -17.9077          8.19033          2.19238         -1.99375
             -200              100              470        -0.221842        0.0912716         -15.8513           11.609          1.72832         -2.35848
             -200              100              475        -0.199678         0.124786         -13.1656          14.5317          1.20618          -2.6195
             -200              100              480        -0.172884         0.153765          -9.9638          16.8424         0.648266         -2.76858
             -200              100              485        -0.142185         0.177617         -6.37973          18.4503        0.0778876          -2.8022
             -200              100              490        -0.108384         0.195842         -2.56209          19.2941        -0.481592         -2.72156
             -200              100              495       -0.0723584         0.208049          1.33162           19.344         -1.00772          -2.5325
             -200              100              500       -0.0350492         0.213976           5.1416           18.603         -1.47985         -2.24516
             -195              100                0         -8.30306         -38.9814          51.0807          12.9069          2.13542         -3.15823
             -195              100                5         -8.14792         -38.5224          50.8347          13.2367          3.05972         0.999971
             -195              100               10         -8.00763         -37.6288          50.4042          13.0163          3.99962          4.99896
