           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
             -200              100              370        -0.668098         -0.52018          -4.7514         -3.95786         0.465016        -0.192417
             -200              100              375        -0.787178        -0.290427         -5.76889         -2.33116         0.400161        -0.315905
             -200              100              380        -0.824945       -0.0365128         -6.21292        -0.447681          0.30004        -0.412693
             -200              100              385        -0.789138         0.215807         -6.10691          1.49608         0.176269        -0.478212
             -200              100              390        -0.674971         0.441355         -5.37993          3.31385        0.0361129        -0.502036
             -200              100              395        -0.501617         0.620902         -4.14848          4.83649        -0.107277        -0.485155
             -200              100              400        -0.284163         0.738245         -2.50431          5.91694        -0.242902        -0.427356
             -200              100              405       -0.0442758         0.779913        -0.596377          6.41637        -0.357881        -0.331596
             -200              100              410         0.194947         0.751078          1.38922          6.34276         -0.44547        -0.208399
             -200              100              415         0.407788         0.645143           3.2526          5.60222        -0.492566       -0.0645356
             -200              100              420         0.578392          0.48389          4.83297           4.3469        -0.500311        0.0854189
             -200              100              425         0.688508         0.279016          5.95801          2.64497        -0.464488         0.229737
             -200              100              430         0.729041        0.0531672           6.5121         0.672432        -0.388487         0.355152
             -200              100              435         0.701721        -0.172726          6.47273         -1.38836        -0.280026         0.452791
             -200              100              440         0.602904         -0.37401           5.7614         -3.32437        -0.145224         0.509187
             -200              100              445         0.452588        -0.536053           4.5255         -4.97335       0.00157794          0.52469
             -200              100              450         0.260592        -0.639262          2.81684         -6.13449         0.148904         0.492422
             -200              100              455        0.0499724        -0.678543         0.832753         -6.71709         0.283347         0.417833
             -200              100              460        -0.160049         -0.65196         -1.25265         -6.66378         0.393924         0.306504
             -200              100              465        -0.347011        -0.559736         -3.22334         -5.92949         0.467966         0.166353
             -200              100              470        -0.497478        -0.418744         -4.91724         -4.64733         0.503254         0.011454
             -200              100              475        -0.591201        -0.238148         -6.11045         -2.86435         0.490171        -0.145683
             -200              100              480        -0.626905       -0.0409837         -6.73893        -0.806662         0.435031        -0.290868
             -200              100              485        -0.599761         0.154911         -6.70827          1.35371         0.339832        -0.411137
             -200              100              490        -0.513875         0.328767         -6.00815          3.39087         0.213104        -0.494418
             -200              100              495        -0.382594         0.467588         -4.74528          5.13651        0.0672417        -0.536687
             -200              100              500        -0.215233         0.551754         -2.96844          6.34924       -0.0857953        -0.526975
             -195              100                0           -2.089         0.209222           -26.45        -0.495247        -0.411639        -0.394817
             -195              100                5         -2.02648        0.0199321         -25.7096        -0.621518         -1.02632        -0.405948
             -195              100               10         -2.02219         -0.16353         -24.8467        -0.705287         -1.61149        -0.408769
             -195              100               15          -2.0816        -0.329281         -23.8215        -0.726855         -2.11175        -0.394722
             -195              100               20         -2.17957        -0.484317         -22.6982        -0.710794         -2.56065        -0.370469
             -195              100               25         -2.29159        -0.608166         -21.4628        -0.637533         -2.88782        -0.326866
             -195              100               30         -2.41069          -0.7163          -20.171         -0.53545         -3.15364        -0.273511
             -195              100               35         -2.49677        -0.783259         -18.8253        -0.384496         -3.30243        -0.204535
             -195              100               40         -2.56915         -0.83314         -17.4573        -0.213272         -3.40266        -0.129078
             -195              100               45         -2.57998        -0.836898         -16.0788      0.000337452         -3.41324       -0.0442796
             -195              100               50         -2.57014        -0.825175         -14.6969         0.228172         -3.39373        0.0436542
             -195              100               55          -2.4884        -0.767341         -13.3302         0.493602         -3.31866         0.134674
             -195              100               60         -2.38761        -0.697293         -11.9675          0.76899         -3.22887          0.22651
             -195              100               65         -2.21759        -0.585214         -10.6308          1.07777         -3.11563          0.31664
             -195              100               70         -2.03364        -0.464676         -9.29926          1.39328         -2.99768         0.406427
             -195              100               75         -1.79096        -0.309477           -7.993          1.73799         -2.88307         0.491809
             -195              100               80         -1.53984        -0.149297         -6.69037          2.08689         -2.76894         0.576559
             -195              100               85         -1.24461        0.0353762         -5.40445          2.46049         -2.67863         0.656368
             -195              100               90        -0.945347         0.222289         -4.12005          2.83634          -2.5905         0.735725
             -195              100               95        -0.618705         0.421029         -2.83771          3.23102         -1.70446         0.513966
             -195              100              100        -0.290867         0.620286         -1.55545          3.62653         -0.78354         0.279044
             -195              100              105       -0.0817166         0.683483        -0.370622          3.93877        -0.210557         0.156862
             -195              100              110          0.13775          0.67984         0.853115          3.88373         -0.15455         0.211042
             -195              100              115         0.347499         0.606013          2.00925          3.44824        -0.085064         0.246542
             -195              100              120         0.522717         0.465242           2.9682          2.65274      -0.00823617         0.258983
             -195              100              125         0.648846         0.276605          3.65723           1.6013        0.0689031         0.249617
             -195              100              130          0.70813        0.0547561          3.98456         0.372444         0.139716          0.21755
             -195              100              135         0.694302        -0.175596          3.91852        -0.903662          0.19776         0.166218
             -195              100              140         0.611878        -0.392615          3.48396         -2.11167         0.239287         0.100667
             -195              100              145         0.460437        -0.570053          2.67708         -3.11314         0.258338        0.0252498
             -195              100              150         0.261369        -0.692203          1.60849         -3.82337         0.255192       -0.0525297
             -195              100              155        0.0324136        -0.747025         0.369478         -4.17644         0.229934        -0.126735
             -195              100              160        -0.203461         -0.72013        -0.922883         -4.09161         0.182553        -0.189784
             -195              100              165        -0.421939        -0.622098         -2.13963         -3.61926           0.1192        -0.237505
             -195              100              170        -0.600248        -0.457113          -3.1609         -2.77481        0.0438208        -0.264814
             -195              100              175        -0.716879         -0.24113         -3.87011         -1.63533       -0.0370072        -0.268383
             -195              100              180        -0.764697       0.00223757         -4.22235        -0.322822        -0.116609        -0.249327
             -195              100              185        -0.730409         0.250265         -4.13925          1.04816        -0.187765         -0.20647
             -195              100              190        -0.620826         0.476184         -3.64617          2.33374        -0.244428        -0.144374
             -195              100              195        -0.447714         0.660454         -2.79593          3.42499        -0.282662       -0.0679495
             -195              100              200        -0.222652         0.778048         -1.63684          4.18311        -0.296712         0.017906
             -195              100              205        0.0297136         0.818269        -0.292672          4.53863          -0.2856         0.105471
             -195              100              210         0.283642         0.772064          1.10619          4.42799         -0.24844          0.18674
             -195              100              215         0.514569         0.652139          2.42343          3.90481        -0.190273         0.256007
             -195              100              220         0.697219         0.461611          3.52343          2.96925        -0.112982         0.306101
             -195              100              225         0.812831         0.221587          4.29338          1.72185       -0.0232322         0.332509
             -195              100              230         0.852718       -0.0451033          4.67214         0.279458        0.0722191         0.333517
             -195              100              235         0.802753        -0.311988           4.5654         -1.22504         0.165443         0.305212
             -195              100              240         0.677821        -0.554432          4.03552          -2.6478         0.249577         0.252588
             -195              100              245         0.479915        -0.744143          3.07178           -3.832         0.316028         0.176057
             -195              100              250         0.233932        -0.865415          1.79628         -4.67249          0.36008        0.0830921
             -195              100              255       -0.0390796        -0.905573         0.313023         -5.08188         0.377396       -0.0201305
             -195              100              260        -0.311461        -0.855205         -1.23406         -4.98411         0.364105        -0.125338
             -195              100              265        -0.559415        -0.727177         -2.70441          -4.4301         0.323415        -0.224797
             -195              100              270        -0.752221        -0.522166         -3.92614         -3.39573         0.253481        -0.308497
