           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -200              100                0        -0.156176        -0.475255          10.6374          1.41048         0.017096        -0.252143
             -200              100                5        -0.198247        -0.423522          10.3056           1.3457         0.279075        -0.239141
             -200              100               10        -0.217287        -0.371012           9.9384           1.2689         0.533504        -0.227377
             -200              100               15        -0.207498        -0.319576          9.52175          1.17501         0.764281        -0.219619
             -200              100               20        -0.180267         -0.26879          9.07515          1.07079         0.980748        -0.214285
             -200              100               25        -0.138086        -0.223153          8.59037         0.951629          1.16055        -0.215174
             -200              100               30       -0.0883696        -0.180111          8.08635         0.824937          1.32188        -0.219198
             -200              100               35       -0.0384871        -0.145759          7.55941         0.686573          1.44443        -0.229938
             -200              100               40        0.0114644        -0.115011          7.02296         0.543368          1.55088        -0.243462
             -200              100               45        0.0516792       -0.0950465          6.47603          0.39138          1.62332        -0.263223
             -200              100               50        0.0886261       -0.0787006          5.92559         0.236443          1.68434        -0.285078
             -200              100               55         0.111304       -0.0736999          5.37306        0.0750301          1.71886        -0.312398
             -200              100               60         0.130202       -0.0717043          4.81998       -0.0880986          1.74637        -0.341166
             -200              100               65         0.134306       -0.0804173          4.26949        -0.255908          1.75512        -0.374786
             -200              100               70         0.135434       -0.0912853          3.71952        -0.424659          1.76011        -0.409383
             -200              100               75         0.123561        -0.111267          3.17385        -0.596706          1.75306         -0.44862
             -200              100               80         0.109819        -0.132558          2.62881        -0.769226          1.74429        -0.488523
             -200              100               85        0.0859209        -0.160574          2.08752        -0.943869          1.72861        -0.533262
             -200              100               90        0.0610944        -0.189206          1.54658         -1.11871           1.7123        -0.578444
             -200              100               95        0.0292588         -0.22138          1.00709         -1.29446          1.13146        -0.400975
             -200              100              100      -0.00288312         -0.25371         0.467661         -1.47025         0.525939        -0.213774
             -200              100              105       -0.0827964        -0.242693       -0.0165419          -1.5527          0.13709        -0.116775
             -200              100              110        -0.156336        -0.208378        -0.498087         -1.48997        0.0940772        -0.154773
             -200              100              115        -0.216442        -0.152425        -0.933836         -1.28157        0.0413915        -0.178127
             -200              100              120        -0.255315       -0.0792076         -1.27352        -0.941239       -0.0159142        -0.183377
             -200              100              125        -0.270831       0.00310711         -1.49441        -0.512465       -0.0721643        -0.171629
             -200              100              130        -0.258972        0.0872948         -1.56489       -0.0295625        -0.121812        -0.142504
             -200              100              135        -0.220877         0.164351         -1.48006         0.455992        -0.159755       -0.0992225
             -200              100              140        -0.160944         0.227647         -1.25603         0.901369        -0.183271       -0.0462707
             -200              100              145       -0.0824587         0.268245        -0.899285          1.25386        -0.187945         0.012022
             -200              100              150       0.00526074         0.283575        -0.457433          1.48617        -0.174852        0.0694181
             -200              100              155        0.0945995         0.271759        0.0310619          1.57755         -0.14497         0.120941
             -200              100              160          0.17571         0.230726         0.516954          1.50304       -0.0996868         0.160294
             -200              100              165         0.241462         0.167082         0.954088          1.28722       -0.0448128         0.184984
             -200              100              170         0.284343        0.0850036          1.29832         0.940897        0.0152702         0.191676
             -200              100              175          0.29871      -0.00734374          1.51047         0.497999        0.0743647         0.179097
             -200              100              180         0.284873        -0.100895          1.58077       0.00551385         0.127259         0.149639
             -200              100              185         0.240729        -0.186078          1.48671        -0.491427         0.167904          0.10433
             -200              100              190         0.171954        -0.254281          1.24629        -0.941325         0.192727        0.0484679
             -200              100              195        0.0850497        -0.299918         0.885152         -1.30702         0.200088       -0.0129251
             -200              100              200       -0.0128852        -0.315344          0.42875         -1.54081         0.187278       -0.0742749
             -200              100              205        -0.111654        -0.299618       -0.0737584          -1.6236         0.156164        -0.129348
             -200              100              210        -0.200783         -0.25234        -0.571871         -1.53862         0.109052        -0.171923
             -200              100              215        -0.272727        -0.180898         -1.01948          -1.3111        0.0517386        -0.199516
             -200              100              220        -0.318536       -0.0892867         -1.36871        -0.947446       -0.0115593         -0.20792
             -200              100              225         -0.33361        0.0127105          -1.5853        -0.488083       -0.0743138         -0.19661
             -200              100              230        -0.317301         0.115756         -1.65447        0.0233338        -0.131128        -0.167168
             -200              100              235        -0.267333         0.208538         -1.55125         0.536761        -0.175201        -0.120577
             -200              100              240        -0.192027         0.283617         -1.30557          1.00505        -0.204119       -0.0630217
             -200              100              245       -0.0953571         0.330678        -0.922743          1.37454        -0.212949       0.00131618
             -200              100              250        0.0115383         0.346705        -0.450917          1.61519        -0.202281        0.0656524
             -200              100              255         0.119197         0.329279        0.0692882          1.70232        -0.172652         0.124316
             -200              100              260         0.215979         0.278011         0.584957          1.61741        -0.126087         0.170836
             -200              100              265         0.294285         0.200426          1.05146          1.38424       -0.0682115         0.202429
             -200              100              270         0.342282         0.100369          1.41016          1.00313      -0.00327906         0.213308
             -200              100              275         0.358736      -0.00982523          1.63946         0.528666         0.061726         0.205004
             -200              100              280         0.339335        -0.120655          1.70756      -0.00243643         0.120895         0.176793
             -200              100              285         0.285756        -0.220381           1.6068        -0.534731         0.168194         0.131572
             -200              100              290         0.204412         -0.30076          1.35523          -1.0217         0.200302        0.0741822
             -200              100              295         0.100167        -0.349849         0.958792         -1.40283         0.211644        0.0091084
             -200              100              300       -0.0143729        -0.366868         0.472838         -1.65611         0.203932       -0.0567393
             -200              100              305        -0.129156        -0.345896       -0.0659112          -1.7404         0.175616        -0.117131
             -200              100              310        -0.232343        -0.290706        -0.599897          -1.6551         0.130599         -0.16636
             -200              100              315        -0.314535        -0.206104         -1.08113         -1.40773        0.0728791        -0.200178
             -200              100              320        -0.364761       -0.0986576         -1.45244         -1.01112       0.00751967        -0.213753
             -200              100              325        -0.381644        0.0196998         -1.69171        -0.516183       -0.0589912         -0.20807
             -200              100              330        -0.357913         0.138162          -1.7524        0.0402168        -0.120032        -0.180754
             -200              100              335        -0.299649         0.244954         -1.64539         0.596955        -0.170336        -0.136579
             -200              100              340        -0.210054         0.329413          -1.3703          1.10219        -0.204831       -0.0785431
             -200              100              345       -0.0975437         0.381686         -0.95073          1.49988        -0.219561       -0.0121988
             -200              100              350        0.0265248         0.399453        -0.433449          1.76275        -0.214816        0.0563045
             -200              100              355          0.15041         0.374405          0.14119          1.83651        -0.187727         0.120036
             -200              100              360         0.262398         0.314416          0.71088          1.73837         -0.14378         0.173889
             -200              100              365         0.350341         0.220967          1.21995          1.45667       -0.0850516         0.211842
             -200              100              370         0.405595         0.104223           1.6162          1.02346        -0.017635         0.230571
             -200              100              375         0.423809       -0.0251964          1.86568         0.479385        0.0526632         0.228939
             -200              100              380         0.398499        -0.154783          1.92226        -0.129386         0.118962         0.204799
             -200              100              385         0.336587        -0.272893          1.80045        -0.740504         0.176107         0.162732
             -200              100              390         0.238709        -0.365848          1.48418         -1.29131          0.21734         0.104116
             -200              100              395         0.116966        -0.426262           1.0172         -1.73017         0.240074        0.0356034
             -200              100              400       -0.0187423        -0.447453         0.434817         -2.01167         0.241793       -0.0374164
             -200              100              405        -0.155054        -0.424797        -0.208825         -2.09423         0.221194        -0.108037
             -200              100              410        -0.280345        -0.363898          -0.8532          -1.9856         0.181917        -0.170883
             -200              100              415        -0.379291        -0.264268         -1.42823         -1.66014         0.124572        -0.218367
             -200              100              420        -0.445835        -0.139849         -1.88647         -1.17263        0.0564029        -0.248308
             -200              100              425        -0.470817      0.000484087         -2.17245         -0.55056       -0.0178578        -0.256593
             -200              100              430        -0.451626         0.142648         -2.25354         0.144054       -0.0912826        -0.242518
             -200              100              435        -0.391755         0.274613         -2.12859         0.849087        -0.158221        -0.208234
             -200              100              440        -0.291766         0.380966         -1.77788          1.48945        -0.211277         -0.15433
             -200              100              445        -0.165371         0.455423         -1.25715          2.01382        -0.247905       -0.0876527
             -200              100              450       -0.0210638         0.486678        -0.591119           2.3533        -0.262822       -0.0123746
             -200              100              455         0.126253         0.474042         0.149184          2.48066         -0.25599        0.0643449
             -200              100              460          0.26403         0.418219         0.901029            2.379         -0.22785         0.136525
             -200              100              465          0.37737           0.3216          1.58639          2.03597         -0.17949         0.197065
             -200              100              470         0.459237         0.196452          2.15189          1.50126        -0.116738         0.242553
             -200              100              475         0.496397         0.050825          2.51713         0.794705       -0.0431008         0.266485
             -200              100              480         0.490241       -0.0996095          2.66497      -0.00178053        0.0340379         0.269236
             -200              100              485         0.438636        -0.242015          2.56377        -0.824603         0.108788         0.249326
             -200              100              490         0.346001        -0.362078          2.21349         -1.59084         0.174381         0.208243
             -200              100              495         0.222914         -0.45163          1.65627         -2.23946         0.226669         0.150609
             -200              100              500        0.0774669        -0.496516         0.912879         -2.67905         0.258654        0.0792858
             -195              100                0       -0.0864305        -0.434415          10.7032          2.11068       0.00973438        -0.228309
             -195              100                5        -0.129801        -0.385876           10.373           2.0179         0.306119        -0.211969
             -195              100               10        -0.147258        -0.336011          10.0013          1.91165          0.59228        -0.197604
             -195              100               15        -0.133348        -0.286744          9.57368          1.78676         0.847694        -0.188838
             -195              100               20        -0.100463         -0.23784          9.11216           1.6506          1.08451        -0.183458
             -195              100               25       -0.0529589        -0.194084          8.61138           1.4991          1.27588        -0.186161
             -195              100               30       0.00191129        -0.152923          8.09081          1.33987          1.44436        -0.192937
             -195              100               35        0.0548447        -0.120729          7.55069          1.16947           1.5673         -0.20775
             -195              100               40         0.106975       -0.0922547          7.00247          0.99444          1.67134        -0.225896
             -195              100               45         0.146835       -0.0748556          6.44939         0.811463          1.73769        -0.250838
             -195              100               50         0.182578       -0.0611738          5.89468         0.625821          1.79139         -0.27806
             -195              100               55         0.201799       -0.0590381          5.34399         0.434459          1.81756        -0.310692
             -195              100               60         0.216643       -0.0599608          4.79436         0.241581          1.83644        -0.344756
             -195              100               65         0.214914        -0.071653          4.25291        0.0444602          1.83722        -0.383219
             -195              100               70          0.20985       -0.0855125          3.71311        -0.153514          1.83435        -0.422566
             -195              100               75         0.190482        -0.108455           3.1822        -0.354775          1.82096        -0.465833
             -195              100               80         0.169057        -0.132703          2.65258        -0.556509          1.80606        -0.509664
             -195              100               85         0.136602        -0.163587          2.13011        -0.760795          1.78612        -0.557434
             -195              100               90         0.103139        -0.195078          1.60829        -0.965315          1.76571        -0.605563
             -195              100               95         0.062245        -0.230069          1.09014         -1.17168          1.16623        -0.419651
             -195              100              100        0.0210266        -0.265214         0.572144         -1.37813         0.541443        -0.223508
             -195              100              105       -0.0635741        -0.261054         0.113191         -1.49742         0.140885        -0.121017
             -195              100              110         -0.14358        -0.231905        -0.355073         -1.47732         0.096513        -0.159747
             -195              100              115        -0.211436        -0.178907        -0.791396         -1.31379        0.0423696        -0.183371
             -195              100              120        -0.258594        -0.105982         -1.14653         -1.01574       -0.0163409        -0.188414
             -195              100              125        -0.282125       -0.0215141         -1.39511        -0.622884       -0.0738356        -0.176083
             -195              100              130        -0.277223        0.0672728         -1.50401        -0.165324        -0.124456        -0.146054
             -195              100              135        -0.244328         0.150869         -1.46417          0.30814        -0.163046        -0.101667
             -195              100              140        -0.187484         0.221975         -1.28738         0.755196        -0.186884       -0.0475226
             -195              100              145         -0.10938         0.270999        -0.975262           1.1249        -0.191526        0.0119454
             -195              100              150       -0.0195278         0.294491        -0.570997          1.38705         -0.17813        0.0704086
             -195              100              155        0.0742892         0.289878        -0.109568          1.51838        -0.147726         0.122829
             -195              100              160         0.161996         0.254205          0.36412           1.4906        -0.101759         0.162853
             -195              100              165         0.235634          0.19377         0.803717          1.32303       -0.0461228         0.188003
             -195              100              170         0.287059         0.112306          1.16599          1.02196        0.0147523         0.194935
             -195              100              175         0.309757        0.0178377          1.41033         0.616187         0.074619         0.182401
             -195              100              180         0.303317       -0.0801985          1.52312         0.149701         0.128248         0.152831
             -195              100              185         0.264794         -0.17205          1.47858        -0.336467         0.169569          0.10727
             -195              100              190          0.19938         -0.24834          1.28916        -0.791402         0.195008        0.0510446
             -195              100              195         0.113361        -0.302761         0.975904         -1.17713          0.20293       -0.0108035
             -195              100              200        0.0134696        -0.326847         0.558647         -1.44558         0.190615        -0.072711
             -195              100              205       -0.0898248        -0.318809        0.0826561         -1.57369         0.159922        -0.128438
             -195              100              210        -0.185734        -0.277406         -0.40531         -1.54044         0.113125        -0.171768
             -195              100              215        -0.265874        -0.209668        -0.858604         -1.36544         0.056004        -0.200199
