           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -200              100                0         -8.26699         -31.8438          54.7637          6.41816          5.03847         -4.01973
             -200              100                5         -8.26908         -31.4959          54.4907          7.46095          5.71556         -0.24513
             -200              100               10         -8.28947         -30.7975          54.0275          8.07083          6.39167          3.43302
             -200              100               15         -8.31472         -29.6418          53.2421          8.05966          7.08537          6.80231
             -200              100               20          -8.3429         -28.2095          52.2617          7.67278          7.78972          9.98473
             -200              100               25         -8.33303         -26.4889          50.9012          6.79481          8.53072          12.6789
             -200              100               30         -8.30397         -24.6232          49.3492          5.66938          9.29019          15.1271
             -200              100               35         -8.19621         -22.6568           47.382          4.24066           10.087          17.0425
             -200              100               40         -8.05581         -20.6487          45.2427          2.68613          10.8993          18.7369
             -200              100               45            -7.81         -18.6691          42.6703         0.990674          11.7361          19.9399
             -200              100               50          -7.5288         -16.6992          39.9526        -0.752083          12.5811           20.978
             -200              100               55         -7.13149         -14.8225          36.8057         -2.51379           13.431          21.6021
             -200              100               60         -6.70342         -12.9704          33.5453         -4.28052          14.2821          22.1167
             -200              100               65         -6.16216         -11.2286          29.8831         -5.98044          15.1175          22.2997
             -200              100               70         -5.59811         -9.50893            26.14         -7.66691          15.9497           22.416
             -200              100               75         -4.93486         -7.88964          22.0456         -9.22844          16.7484          22.2737
             -200              100               80         -4.25736         -6.28476          17.9007          -10.772          17.5423          22.0942
             -200              100               85          -3.5049         -4.75968          13.4757          -12.153          18.2895          21.7126
             -200              100               90         -2.74559          -3.2419            9.025         -13.5191          19.0323          21.3126
             -200              100               95         -1.94514         -1.78113          4.38243            -14.7          12.8757          13.9806
             -200              100              100         -1.14289         -0.32286        -0.268531         -15.8728          6.41742          6.34546
             -200              100              105          -1.1563        0.0358305         -5.30463         -14.9531          2.56613          1.26923
             -200              100              110         -1.06754         0.374069         -9.83329         -12.5396          2.84573         0.399767
             -200              100              115        -0.884979         0.663074         -13.3995         -8.79032          2.84312        -0.517162
             -200              100              120        -0.627426         0.872767         -15.5243         -4.04908          2.54109         -1.38295
             -200              100              125        -0.328193          0.99578         -16.1212          1.13081          1.99513         -2.12059
             -200              100              130       -0.0140682          1.01851           -14.99          6.25006          1.23856         -2.64591
             -200              100              135         0.282586         0.946429          -12.275          10.7373         0.355106         -2.90618
             -200              100              140         0.538942         0.795915         -8.31016          14.2046        -0.569543          -2.8926
             -200              100              145         0.726938         0.577837         -3.38115          16.1232         -1.44054         -2.57175
             -200              100              150         0.839056          0.32288          1.90608          16.4179         -2.17414         -2.00305
             -200              100              155         0.870458        0.0541597          7.06355          15.0499          -2.7051         -1.23586
             -200              100              160           0.8158        -0.200913          11.4727          11.9991         -2.95305        -0.334978
             -200              100              165         0.694508        -0.421937          14.7648          7.74679         -2.92425         0.598831
             -200              100              170         0.517549         -0.58981          16.5377          2.63257         -2.60357          1.47979
             -200              100              175         0.305525        -0.690705          16.5494         -2.78588         -2.01904          2.21177
             -200              100              180        0.0810691        -0.725377          14.9213         -7.96813         -1.24318          2.73913
             -200              100              185        -0.134864        -0.688814          11.6497         -12.3262        -0.335775          2.98613
             -200              100              190        -0.322879        -0.593494          7.17144         -15.4255         0.602242          2.94232
             -200              100              195        -0.470899        -0.452984           1.9333         -17.0255          1.48876          2.62236
             -200              100              200        -0.563873        -0.280137         -3.55992         -16.7882          2.22706          2.03114
             -200              100              205        -0.599348       -0.0944725         -8.71537         -14.8011            2.746          1.24051
